year,parent_region,deforestation_hectares
2001,CHACO,2281.401340099497
2001,CHACO,199.175695129294
2001,CHACO,315.4334005623472
2001,CHACO,293.3001777452581
2001,CHACO,671.2301016835314
2001,SANTA FE,2751.792784318036
2001,SANTIAGO DEL ESTERO,3080.422560671089
2001,SANTIAGO DEL ESTERO,16151.435615458731
2001,CHACO,4754.504444660625
2001,CATAMARCA,52.07355947047472
2001,CATAMARCA,29.25274933836624
2001,SALTA,8833.862741506888
2001,SANTIAGO DEL ESTERO,865.0087291546604
2001,SANTIAGO DEL ESTERO,1263.5302887939065
2001,SAN LUIS,2958.481982920655
2001,SANTIAGO DEL ESTERO,2461.3014589516847
2001,SAN LUIS,2104.5787192728885
2001,SANTIAGO DEL ESTERO,3656.4394608188495
2001,CHACO,437.463270817025
2001,FORMOSA,1300.7944127790774
2001,CORDOBA,402.4724143264633
2001,CATAMARCA,742.1504871650945
2001,CATAMARCA,45.7980405241251
2001,CORRIENTES,88.99878908401611
2001,LA RIOJA,3022.4004456768434
2001,SANTIAGO DEL ESTERO,4743.71883698401
2001,SALTA,112.2015115492484
2001,CHACO,865.0303368678865
2001,SAN LUIS,1673.236311621701
2001,LA RIOJA,289.46123873889445
2001,SANTIAGO DEL ESTERO,3155.736307152463
2001,CHACO,428.3041002409423
2001,SANTIAGO DEL ESTERO,3981.017947793212
2001,TUCUMAN,638.3836215448146
2001,CORDOBA,5245.13999808384
2001,CATAMARCA,103.9760674610734
2001,SANTIAGO DEL ESTERO,2121.4726592034394
2001,FORMOSA,1050.2218802559023
2001,CHACO,169.9862656473237
2001,CATAMARCA,5.2059595733881
2001,LA RIOJA,647.2522795098962
2001,CHACO,988.5427123222572
2001,LA RIOJA,375.25534476339817
2001,CHACO,158.63280409963107
2001,CHACO,1594.0507744080296
2001,SALTA,330.7922925164302
2001,SALTA,8955.286927192556
2001,LA RIOJA,994.3557186914134
2001,SANTA FE,769.1595382113667
2001,LA RIOJA,569.8864430793944
2001,LA RIOJA,2866.4965585727905
2001,SANTIAGO DEL ESTERO,6549.5508591126
2001,TUCUMAN,833.4033582140125
2001,SANTIAGO DEL ESTERO,7511.442633426804
2001,CHACO,736.6461456539
2001,CORDOBA,8224.25136145508
2001,SANTIAGO DEL ESTERO,8212.653019586176
2001,TUCUMAN,66.26407915353775
2001,SANTIAGO DEL ESTERO,7004.671621455691
2001,SAN LUIS,4093.719485752109
2001,SALTA,278.2764215151469
2001,TUCUMAN,340.2796565361175
2001,FORMOSA,1051.0370447673051
