year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
"2001","ARGENTINA","AR","JUAN F. IBARRA","AR-86098","SANTIAGO DEL ESTERO","AR-86","7004.671621455691"
"2001","ARGENTINA","AR","JUNIN","AR-74049","SAN LUIS","AR-74","4093.719485752109"
"2001","ARGENTINA","AR","LA CANDELARIA","AR-66084","SALTA","AR-66","278.2764215151469"
"2001","ARGENTINA","AR","LA COCHA","AR-90049","TUCUMAN","AR-90","340.2796565361175"
"2001","ARGENTINA","AR","LAISHI","AR-34021","FORMOSA","AR-34","1051.0370447673051"
"2001","ARGENTINA","AR","LA PAZ","AR-10070","CATAMARCA","AR-10","7421.96074182996"
"2001","ARGENTINA","AR","LA VINA","AR-66098","SALTA","AR-66","170.63978361338377"
"2001","ARGENTINA","AR","LEALES","AR-90056","TUCUMAN","AR-90","559.2785180615152"
"2001","ARGENTINA","AR","LIBERTAD","AR-22077","CHACO","AR-22","483.17080599186465"
"2001","ARGENTINA","AR","LIBERTADOR GENERAL SAN MARTIN","AR-22084","CHACO","AR-22","861.226694649049"
"2001","ARGENTINA","AR","LIBERTADOR GENERAL SAN MARTIN","AR-74063","SAN LUIS","AR-74","541.2431259524004"
"2001","ARGENTINA","AR","LORETO","AR-86105","SANTIAGO DEL ESTERO","AR-86","566.020568690522"
"2001","ARGENTINA","AR","MAIPU","AR-22091","CHACO","AR-22","834.2848808276303"
"2001","ARGENTINA","AR","MATACOS","AR-34028","FORMOSA","AR-34","62.557041048390026"
"2001","ARGENTINA","AR","MAYOR LUIS J. FONTANA","AR-22098","CHACO","AR-22","210.90880322266443"
"2001","ARGENTINA","AR","METAN","AR-66112","SALTA","AR-66","1046.6352132491622"
"2001","ARGENTINA","AR","MINAS","AR-14070","CORDOBA","AR-14","681.1395631260148"
"2001","ARGENTINA","AR","MITRE","AR-86112","SANTIAGO DEL ESTERO","AR-86","1531.7023354852317"
"2001","ARGENTINA","AR","MORENO","AR-86119","SANTIAGO DEL ESTERO","AR-86","17073.52934422303"
"2001","ARGENTINA","AR","O'HIGGINS","AR-22112","CHACO","AR-22","580.2524162067795"
"2001","ARGENTINA","AR","OJO DE AGUA","AR-86126","SANTIAGO DEL ESTERO","AR-86","3236.9723196777054"
"2001","ARGENTINA","AR","ORAN","AR-66126","SALTA","AR-66","2047.0691314909093"
