Id,period,POINT_X,POINT_Y,Region,WoodCover,WLrate,WoodLoss,ConsFund,ConsFund_cumm,ConsFund_r,pct_PA,PA_change,WoodChange,WoodCover_270,WoodLoss_270,pct_PA_270,PA_change_270,WoodCover_540,WoodLoss_540,pct_PA_540,PA_change_540,ConsFund_diff
59,1,-488074.4047,-41301.30505,Chaco,0.652786887,0.001350074,0.00354435,0,0,0,0,0,-0.00354435,0.503556908,0.001664616,0.00455859,0.002279295,0.514383059,0.003160293,0.011392715,0.001036043,NA
59,2,-488074.4047,-41301.30505,Chaco,0.641290299,0.004442119,0.011496588,0,0,0,0,0,-0.011496588,0.49956371,0.003993198,0.00455859,0,0.509271952,0.005111107,0.011392715,0,0
59,3,-488074.4047,-41301.30505,Chaco,0.614964819,0.010479294,0.02632548,0,0,0,0,0,-0.02632548,0.492459467,0.007104243,0.00455859,0,0.499964131,0.009307821,0.011392715,0,0
59,4,-488074.4047,-41301.30505,Chaco,0.596933156,0.00743998,0.018031663,0.005166393,0.005166393,0.000320818,0,0,-0.018031663,0.47175774,0.020701727,0.00455859,0,0.480912444,0.019051686,0.011392715,0,0.005166393
59,5,-488074.4047,-41301.30505,Chaco,0.560723028,0.015644517,0.036210128,0.931414073,0.932022285,0.095838569,0,0,-0.036210128,0.456610874,0.015146866,0.00455859,0,0.455726052,0.025186393,0.011392715,0,0.926247679
59,6,-488074.4047,-41301.30505,Chaco,0.54808081,0.005701083,0.012642217,0.704785264,1.101007966,0.016162098,0,0,-0.012642217,0.446555629,0.010055245,0.00455859,0,0.447033001,0.008693051,0.011392715,0,-0.226628809
59,7,-488074.4047,-41301.30505,Chaco,0.545114072,0.001356915,0.002966738,NA,NA,NA,0,0,-0.002966738,0.443274179,0.00328145,0.00455859,0,0.442854953,0.004178048,0.011392715,0,NA
63,0,591925.5953,-41301.30505,Other,0.078742072,NA,NA,NA,NA,NA,0,NA,NA,0.054720342,NA,0,NA,0.075498149,NA,0,NA,NA
63,1,591925.5953,-41301.30505,Other,0.070801083,0.013287913,0.003970494,0,0,0,0,0,-0.003970494,0.055403591,0.00099714,0.001339813,0.000669906,0.076559724,0.000695377,0.031215247,0.015607624,NA
63,2,591925.5953,-41301.30505,Other,0.078410374,0,0,0,0,0,0,0,0.007609291,0.057829237,0.000346023,0.001339813,0,0.076505953,0.001516675,0.031215247,0,0
63,3,591925.5953,-41301.30505,Other,0.082215415,0,0,0,0,0,0,0,0.003805042,0.060053235,0,0.001339813,0,0.07743627,0.000445551,0.031215247,0,0
63,4,591925.5953,-41301.30505,Other,0.076121397,0.019253355,0.006094018,0.369899444,0.369899444,0.034618205,0,0,-0.006094018,0.054216224,0.005837012,0.001339813,0,0.07548175,0.00241867,0.031215247,0,0.369899444
63,5,591925.5953,-41301.30505,Other,0.085736385,0,0,0.150618518,0.440631548,0.005856858,0,0,0.009614988,0.063986127,2.43E-06,0.001339813,0,0.075764501,0.004143606,0.031215247,0,-0.219280926
63,6,591925.5953,-41301.30505,Other,0.09302178,0,0,0.528331937,0.710429539,0.009511926,0,0,0.007285395,0.068999245,0,0.001339813,0,0.078320667,0.001863233,0.031215247,0,0.377713419
63,7,591925.5953,-41301.30505,Other,0.10153741,0,0,NA,NA,NA,0,0,0.008515631,0.06812293,0.003019141,0.001339813,0,0.079936541,0.001046697,0.031215247,0,NA
66,0,681925.5953,-41301.30505,Other,0.00825741,NA,NA,NA,NA,NA,0,NA,NA,0.15664156,NA,0,NA,0.246893923,NA,0,NA,NA
66,1,681925.5953,-41301.30505,Other,0.006439474,0.031083011,0.000908968,0.09710429,0.09710429,0.028802565,0,0,-0.000908968,0.155760468,0.000454484,0,0,0.238937041,0.005295523,0,0,NA
66,2,681925.5953,-41301.30505,Other,0.00653181,0,0,0.051260446,0.138567584,0.00526771,0,0,9.23E-05,0.208566141,0,0,0,0.249254135,0.003609252,6.57E-06,6.57E-06,-0.045843845
66,3,681925.5953,-41301.30505,Other,0.004184799,0.111306365,0.002347011,0.051260446,0.176414977,0.004700712,0,0,-0.002347011,0.194842855,0.013723286,0,0,0.247859937,0.004633032,0.045830932,0.045824357,0
66,4,681925.5953,-41301.30505,Other,0.005929423,0,0,0.367819176,0.452339341,0.03434078,0,0,0.001744625,0.213596564,0,0,0,0.259694276,0.003024831,0.045830932,0,0.31655873
66,5,681925.5953,-41301.30505,Other,0.008353349,0,0,0.535597223,0.721480847,0.03328909,0,0,0.002423925,0.207953889,0.006854637,0,0,0.271236099,0.001386822,0.045830932,0,0.167778047
66,6,681925.5953,-41301.30505,Other,0.010929761,0,0,0.577945917,0.905793426,0.011126887,0,0,0.002576413,0.201547956,0.00769414,0,0,0.258919735,0.013407819,0.045830932,0,0.042348694
66,7,681925.5953,-41301.30505,Other,0.010626038,0.007045505,0.000303723,NA,NA,NA,0,0,-0.000303723,0.21951747,0.000151861,0,0,0.262914858,0.004266717,0.045830932,0,NA
104,0,-578074.4047,48698.69495,Chaco,0.598979744,NA,NA,NA,NA,NA,0,NA,NA,0.506886141,NA,0,NA,0.520703644,NA,0.009320629,NA,NA
104,1,-578074.4047,48698.69495,Chaco,0.596270149,0.000566743,0.001354797,0,0,0,0,0,-0.001354797,0.503556908,0.001664616,0.00455859,0.002279295,0.514383059,0.003160293,0.011392715,0.001036043,NA
104,2,-578074.4047,48698.69495,Chaco,0.595917058,0.000148086,0.000353092,0,0,0,0,0,-0.000353092,0.49956371,0.003993198,0.00455859,0,0.509271952,0.005111107,0.011392715,0,0
104,3,-578074.4047,48698.69495,Chaco,0.594564179,0.000568207,0.001352878,0,0,0,0,0,-0.001352878,0.492459467,0.007104243,0.00455859,0,0.499964131,0.009307821,0.011392715,0,0
104,4,-578074.4047,48698.69495,Chaco,0.590684968,0.00163646,0.003879211,0.005166393,0.005166393,0.000320818,0,0,-0.003879211,0.47175774,0.020701727,0.00455859,0,0.480912444,0.019051686,0.011392715,0,0.005166393
